zone_id,zone_name,area_m2,dist_alimentacion,access_alimentacion,dist_farmacia,access_farmacia,dist_salud,access_salud,dist_educacion,access_educacion,dist_parque,access_parque,dist_transporte,access_transporte,services_count,score_15min
B074,LA CREU DEL GRAU,390193.14269563847,38.14744181805128,1,124.31448236303615,1,74.10666181949843,1,72.5941527562433,1,125.18105865980867,1,165.74110567375917,1,6,100.0
B075,CIUTAT DE LES ARTS I DE LES CIENCIES,992883.6232477905,178.8971189028556,1,306.2063331039344,1,613.1353371527343,1,609.0049477824189,1,294.57662959117465,1,112.59692219176458,1,6,100.0
B076,POBLE NOU,2930957.662354524,913.6673085294416,1,1245.7435457324361,0,1393.7128946324976,0,709.247110185146,1,848.1166467334634,1,493.355057289087,1,4,66.66666666666666
B077,LES CASES DE BARCENA,1201023.351954109,2129.445057130488,0,2189.8644345743837,0,3467.517252095897,0,1853.63686328221,0,755.9595304120209,1,342.734148506712,1,2,33.33333333333333
B078,MAHUELLA-TAULADELLA,1043066.1378118087,4472.032111202762,0,4665.830787035758,0,6028.61943823297,0,4201.980132599874,0,3704.447177613109,0,2314.954033688083,0,0,0.0
B079,PINEDO,6526456.3619066,2686.326975623724,0,1643.6159579258162,0,3151.8176854782373,0,1814.3922300219813,0,1750.5514670541754,0,583.9014361438219,1,1,16.666666666666664
B080,MASSARROJOS,2781900.8057213845,2750.957627337474,0,2799.087694571926,0,5003.361914575303,0,2993.413029003282,0,152.52228776185137,1,1057.8510363160776,1,2,33.33333333333333
B081,FAITANAR,4902501.464250645,996.1243843778141,1,1265.1406968530819,0,1291.154114945808,0,1335.0538899450685,0,1195.3926534824539,1,411.37164139405854,1,3,50.0
B082,CASTELLAR-L'OLIVERAL,2989701.201432936,653.4720746701958,1,543.3138134599452,1,491.00918819474606,1,275.38369343911086,1,435.24715741233075,1,341.26561098469057,1,6,100.0
B083,EL FORN D'ALCEDO,1200882.3882607438,1063.1640684015522,1,1225.469480989253,0,1229.5293321257898,0,335.2298963852047,1,804.5879256008612,1,55.739809026671324,1,4,66.66666666666666
B084,LA TORRE,419523.0119635025,20.169731450974243,1,29.67228623814999,1,1174.2423901626514,1,228.92903904624956,1,134.65574818762693,1,78.55814161976085,1,6,100.0
B085,SANT FRANCESC,438655.2915736529,182.68852862181657,1,34.57118819561556,1,60.432001210997214,1,288.0433427493171,1,438.0522549957378,1,36.91158276578385,1,6,100.0
B086,SANT MARCEL.LI,330435.46060601406,199.4451890885007,1,144.92490887370334,1,197.59237660802123,1,98.28878171935669,1,182.04219530111288,1,255.5219434971555,1,6,100.0
B087,ELS ORRIOLS,396738.17352664494,133.81696722280404,1,267.58169179064544,1,372.14981690432654,1,101.53045417574478,1,45.14892836053199,1,39.1225799369031,1,6,100.0
B088,LA SEU,221072.59766127518,127.5383702650557,1,112.78508778303593,1,286.9988406485818,1,83.00279000570623,1,203.5758580181299,1,300.1114647875711,1,6,100.0
