zone_id,zone_name,area_m2,dist_alimentacion,walkdist_alimentacion,access_alimentacion,proximity_alimentacion,dist_farmacia,walkdist_farmacia,access_farmacia,proximity_farmacia,dist_salud,walkdist_salud,access_salud,proximity_salud,dist_educacion,walkdist_educacion,access_educacion,proximity_educacion,dist_parque,walkdist_parque,access_parque,proximity_parque,dist_transporte,walkdist_transporte,access_transporte,proximity_transporte,services_count,score_15min,score_familia,score_estudiante,score_persona_mayor,cluster,zone_key,district_name,sale_eur_m2,rent_eur_m2,source,notes,has_housing_data,housing_data_status,rent_eur_m2_clean,sale_eur_m2_clean
B043,BETERO,267236.98329947365,59.713788697767015,59.713788697767015,1,0.9751192547092637,22.947710127279123,22.947710127279123,1,0.9904384541136337,929.8357961142234,929.8357961142234,1,0.6125684182857403,149.42415018266797,149.42415018266797,1,0.9377399374238884,211.17164916005663,211.17164916005663,1,0.9120118128499763,147.169397616358,147.169397616358,1,0.9386794176598509,6,100.0,89.02206416094913,90.86041040115464,88.13321917129264,0,BETERO,POBLATS MARITIMS,2099.0,11.5,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia,1,Con datos de vivienda,11.5,2099.0
B044,CABANYAL-CANYAMELAR,1349868.9421882636,414.83414716028244,414.83414716028244,1,0.8271524386832156,90.94921779930914,90.94921779930914,1,0.9621044925836212,699.3100616961635,699.3100616961635,1,0.7086208076265985,269.15953980708775,269.15953980708775,1,0.8878501917470467,186.0082740935049,186.0082740935049,1,0.9224965524610396,34.70679540953843,34.70679540953843,1,0.9855388352460257,6,100.0,87.94516487835288,89.04915074312841,87.75136505655925,0,CABANYAL CANYAMELAR,POBLATS MARITIMS,2094.0,11.5,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia,1,Con datos de vivienda,11.5,2094.0
B045,LA CARRASCA,1945697.472434357,218.89685851018277,218.89685851018277,1,0.9087929756207572,329.8519710891248,329.8519710891248,1,0.8625616787128647,689.8616173960822,689.8616173960822,1,0.7125576594182991,304.3030511034034,304.3030511034034,1,0.8732070620402486,530.2009708200591,530.2009708200591,1,0.7790829288249754,107.37885519554021,107.37885519554021,1,0.9552588103351916,6,100.0,84.34715795005162,86.61533625565121,84.48424517023547,0,CARRASCA,ALGIROS,2566.0,9.4,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia,1,Con datos de vivienda,9.4,2566.0
B046,LA MALVA-ROSA,732988.1537947246,41.26339556460873,41.26339556460873,1,0.9828069185147463,168.37208529426192,168.37208529426192,1,0.9298449644607242,533.798860365353,533.798860365353,1,0.777583808181103,87.62071997845926,87.62071997845926,1,0.963491366675642,256.6383802363093,256.6383802363093,1,0.8930673415682044,106.94757569043381,106.94757569043381,1,0.955438510128986,6,100.0,91.53450795677013,93.00242437564641,90.76181962623473,0,MALVA ROSA,POBLATS MARITIMS,1820.0,9.7,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia,1,Con datos de vivienda,9.7,1820.0
B047,LA VEGA BAIXA,190570.78441747127,26.028008507772245,26.028008507772245,1,0.9891549964550949,238.22859713634784,238.22859713634784,1,0.9007380845265217,288.487736071254,288.487736071254,1,0.8797967766369775,153.37900648250172,153.37900648250172,1,0.936092080632291,68.03382567233241,68.03382567233241,1,0.9716525726365282,244.81666350457343,244.81666350457343,1,0.8979930568730944,6,100.0,93.01326764564296,93.02823710673051,92.30187613376711,0,VEGA BAIXA,ALGIROS,2221.0,9.4,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia,1,Con datos de vivienda,9.4,2221.0
B048,AIORA,651351.6602005305,299.3816974483663,299.3816974483663,1,0.8752576260631807,382.91742326793064,382.91742326793064,1,0.8404510736383622,503.6226727025964,503.6226727025964,1,0.7901572197072515,207.92778849230558,207.92778849230558,1,0.9133634214615394,276.410114552808,276.410114552808,1,0.88482911893633,168.10009428427853,168.10009428427853,1,0.9299582940482173,6,100.0,87.34540920297141,88.29760082372738,86.28663400580227,0,AIORA,CAMINS AL GRAU,1894.0,9.4,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia,1,Con datos de vivienda,9.4,1894.0
B049,CIUTAT JARDI,363905.8283320316,111.08277436856866,111.08277436856866,1,0.953715510679763,151.9313940047043,151.9313940047043,1,0.9366952524980399,397.0844577771583,397.0844577771583,1,0.8345481425928507,345.14221645118266,345.14221645118266,1,0.8561907431453406,0.0,0.0,1,1.0,194.9403423927005,194.9403423927005,1,0.9187748573363748,6,100.0,91.35613580490869,91.2712383274394,91.81617388435859,0,CIUTAT JARDI,ALGIROS,2118.0,9.2,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia,1,Con datos de vivienda,9.2,2118.0
B050,NATZARET,916438.7808392649,342.60037719976845,342.60037719976845,1,0.8572498428334299,373.36421681327386,373.36421681327386,1,0.8444315763278025,1232.0125366724026,1232.0125366724026,0,0.4866614430531656,396.6746741073149,396.6746741073149,1,0.8347188857886187,189.47038485891335,189.47038485891335,1,0.9210540063087861,0.0,0.0,1,1.0,5,83.33333333333334,81.9303383958483,84.58326910052799,80.80979708653754,0,NATZARET,POBLATS MARITIMS,1161.0,10.2,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia,1,Con datos de vivienda,10.2,1161.0
B051,LA PUNTA,6213241.077261035,2532.7313804186992,2532.7313804186992,0,0.0,2561.798634335237,2561.798634335237,0,0.0,2858.2424079567795,2858.2424079567795,0,0.0,2579.0437302596433,2579.0437302596433,0,0.0,2633.8605818600436,2633.8605818600436,0,0.0,1115.9327803967844,1115.9327803967844,1,0.5350280081680066,1,16.666666666666664,7.64325725954295,12.159727458363786,10.26081111555081,3,PUNTA,QUATRE CARRERES,1967.0,9.7,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia,1,Con datos de vivienda,9.7,1967.0
B052,EL GRAU,5231981.522442434,2567.104156477072,2567.104156477072,0,0.0,2791.798602952411,2791.798602952411,0,0.0,2707.201528883707,2707.201528883707,0,0.0,2492.3837377834457,2492.3837377834457,0,0.0,2068.1907142800837,2068.1907142800837,0,0.13825386904996506,2492.3837377834457,2492.3837377834457,0,0.0,0,0.0,2.567571853785066,1.6758044733329098,1.8938886171228089,1,GRAU,POBLATS MARITIMS,1969.0,10.2,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia,1,Con datos de vivienda,10.2,1969.0
B053,RUSSAFA,876743.800121857,17.500705902491806,17.500705902491806,1,0.9927080392072951,246.33898379285773,246.33898379285773,1,0.8973587567529759,425.2426261475443,425.2426261475443,1,0.8228155724385232,88.96512692448096,88.96512692448096,1,0.9629311971147996,507.14313300019813,507.14313300019813,1,0.7886903612499174,157.86063617862854,157.86063617862854,1,0.9342247349255715,6,100.0,89.73377833013089,91.57689844640068,89.37776502284272,0,RUSSAFA,L'EIXAMPLE,2738.0,10.6,Data Enhance UV / Ayuntamiento València / Idealista,Precios de compra y alquiler por metro cuadrado en barrios de Valencia,1,Con datos de vivienda,10.6,2738.0
