name,categoria,lat,lon
Gaspar Aguilar - Calvo Acacio,transporte,39.454167299999995,-0.3918004000000009
Cementeri,transporte,39.4480624,-0.3962233000000009
Gaspar Aguilar (imparell) - Dr. Tomàs Sala,transporte,39.45029999999999,-0.39436710000000014
Crematori Municipal,transporte,39.44911090000001,-0.39541800000000055
Patraix,transporte,39.4568731,-0.3902026000000006
Gaspar Aguilar - Montesa,transporte,39.454162299999986,-0.3919910000000013
Malilla (parell) - Illa Formentera,transporte,39.447007799999994,-0.3801115000000006
Malilla - Pianista Empar Iturbi,transporte,39.4543088,-0.37829290000000004
Malilla (parell) - Illa Cabrera,transporte,39.448847799999996,-0.37965900000000086
Malilla - Oltà,transporte,39.452519300000006,-0.3787509000000012
Fonteta Sant Lluís - Dr. Waksman,transporte,39.4557145,-0.37158420000000036
Fonteta Sant Lluís - Lleó XIII,transporte,39.45754869999999,-0.37174720000000117
Fonteta Sant Lluís - Algímia d'Alfara,transporte,39.45167730000001,-0.37074700000000055
Fonteta Sant Lluís - Bèrnia,transporte,39.4538274,-0.3715989000000013
Joaquin Benlloch - Oltà,transporte,39.4523029,-0.3756641999999997
Joaquín Benlloch - Illa Cabrera,transporte,39.4497363,-0.37382550000000014
Pianista Empar Iturbi - Ausiàs March,transporte,39.45501229999999,-0.3751466000000004
Centre de Salut Eng. Joaquín Benlloch,transporte,39.4540713,-0.3769101000000007
Sant Vicent Màrtir - Millars,transporte,39.45674890000001,-0.38364440000000005
Peris i Valero - Ausiàs March,transporte,39.4572101,-0.3748184999999997
Peris i Valero - Sapadors,transporte,39.4588749,-0.37086359999999985
Peris i Valero - Bisbe Jaume Pérez,transporte,39.46029800000001,-0.36748099999999984
Sant Vicent Màrtir (imparell) - Arquebisbe Olaechea,transporte,39.4436634,-0.3873518999999999
Creu Coberta,transporte,39.4472639,-0.3859496999999997
Sant Vicent Màrtir - Altamira,transporte,39.4491457,-0.3852835000000009
Maties Perelló - Mestre Aguilar,transporte,39.4609254,-0.36925559999999896
Els Centelles - Sueca,transporte,39.459317399999996,-0.37304389999999976
Parc Central,transporte,39.4578378,-0.37650099999999975
Peris i Valero - Pere Aleixandre,transporte,39.46113179999999,-0.36552540000000106
Mestre Racional - Regne de València,transporte,39.4634324,-0.36331960000000046
Maties Perelló - Lluís de Santàngel,transporte,39.46212789999999,-0.3664407000000006
Centre d'Especialitats Montolivet,transporte,39.46139749999999,-0.36234839999999996
Centre d'Especialitats Montolivet,transporte,39.4615193,-0.36260210000000054
Escultor J. Capuz (imparell) - la Plata,transporte,39.45829100000001,-0.3602456999999998
Escultor J. Capuz (imparell) - Pere Aleixandre,transporte,39.4598674,-0.36129580000000033
la Plata - Amado Granell Mesado,transporte,39.4569804,-0.3628165999999998
Plaça de Cánovas,transporte,39.46848899999999,-0.3658186000000007
Escultor J. Capuz (parell) - Pere Aleixandre,transporte,39.4603469,-0.3618095000000008
Escultor J. Capuz (parell) - la Plata,transporte,39.45859909999999,-0.3606158000000004
Germans Maristes - José Durán Martínez,transporte,39.4535973,-0.3632467000000003
Poliesportiu Fta. Sant Lluís,transporte,39.45250269999999,-0.3658215
Amado Granell Mesado (parell) - la Plata,transporte,39.4570099,-0.3636915000000005
Amado Granell Mesado (parell) - Arabista Ambrosio Huici,transporte,39.4555005,-0.3626439000000019
